_RAJ2000,_DEJ2000,GaiaDR3,SigMA,stability,Dist,e_Dist,E_Dist,X,e_X,Y,e_Y,Z,e_Z,E_X,E_Y,E_Z,VtRA,e_VtRA,VtDE,e_VtDE,E_VtRA,E_VtDE,VtRALSR,VtDELSR,RV,_RA,_DE
241.4756333,-21.1372531,6243782803617422464,3,100.0,140.654,0.511494,0.51724,128.656,0.467861,-17.568,0.064606,54.0613,0.196596,0.473118,0.063888,0.198804,-7.527,0.03846,-15.45,0.0599,0.03248,0.05649,-0.36,-3.448,-6.696,241.47563,-21.13725
241.9249789,-21.1251431,6243791084314939136,3,100.0,144.672,2.230108,2.303605,132.713,2.045761,-17.364,0.276479,54.9158,0.846525,2.113183,0.267658,0.874423,-7.764,0.1682,-15.47,0.27303,0.1567,0.25428,-0.715,-3.45,-6.758,241.92498,-21.12514
241.6559225,-21.1445217,6243802285585124864,3,99.7,141.885,1.364782,1.455374,129.938,1.249862,-17.467,0.179161,54.2446,0.521774,1.332825,0.168009,0.556408,-8.001,0.10437,-16.6,0.16951,0.09532,0.16647,-0.881,-4.592,-6.718,241.65592,-21.14452
241.6557358,-21.1448175,6243802285588903296,3,72.1,140.103,0.943695,0.915301,128.305,0.864232,-17.248,0.112682,53.5628,0.360786,0.838229,0.116177,0.34993,-5.901,0.05247,-14.92,0.10297,0.05513,0.10183,1.2189,-2.907,-6.718,241.65574,-21.14482
241.8061408,-21.1005964,6243803488179729536,2,100.0,141.248,1.257588,1.326301,129.463,1.152659,-17.083,0.160411,53.8383,0.479344,1.215639,0.1521,0.505534,-6.083,0.0754,-16.97,0.16354,0.07199,0.16037,0.9974,-4.964,-7.438,241.80614,-21.1006
241.8101622,-20.8645161,6243816063844045312,3,100.0,140.533,0.388387,0.383911,128.714,0.355723,-16.554,0.045223,53.9272,0.149037,0.351624,0.04575,0.14732,-7.28,0.02476,-15.28,0.0437,0.02434,0.04566,-0.2,-3.318,-6.816,241.81016,-20.86452
242.8064222,-21.0346786,6243831216488277120,2,100.0,135.989,0.910922,1.026706,125.409,0.840048,-14.902,0.112507,50.4348,0.337837,0.946824,0.099819,0.380778,-5.848,0.05737,-16.65,0.12065,0.05542,0.12078,0.9693,-4.613,-7.55,242.80642,-21.03468
242.7326264,-21.0660786,6243832556518476288,2,99.8,146.444,0.665944,0.657641,135.001,0.613909,-16.221,0.072846,54.3814,0.247296,0.606255,0.073766,0.244213,-5.847,0.03807,-17.22,0.07687,0.03734,0.07551,0.9901,-5.175,-7.534,242.73263,-21.06608
242.6750494,-21.0256786,6243833724749589632,3,100.0,140.536,0.333793,0.34146,129.492,0.307563,-15.577,0.037847,52.3396,0.124314,0.314627,0.036997,0.12717,-6.581,0.0204,-15.55,0.03712,0.0212,0.03819,0.2708,-3.517,-6.881,242.67505,-21.02568
242.6742756,-21.0251592,6243833724749589760,3,99.5,143.599,1.609545,1.687377,132.314,1.483054,-15.916,0.187027,53.4827,0.599465,1.55477,0.1784,0.628453,-6.868,0.10616,-16.74,0.19369,0.10487,0.19695,-0.015,-4.712,-6.881,242.67428,-21.02516
242.5526378,-21.079135,6243839046209540864,4,100.0,154.628,1.00911,1.118205,142.392,0.929256,-17.446,0.126164,57.7062,0.376594,1.029718,0.113855,0.417308,-6.387,0.06253,-16.33,0.11629,0.06208,0.1164,0.4977,-4.296,-7.075,242.55264,-21.07913
242.3762328,-21.0831436,6243841249531772800,3,100.0,138.037,0.340158,0.326322,126.975,0.312897,-15.837,0.037439,51.7774,0.127592,0.30017,0.039026,0.122403,-6.671,0.02227,-15.25,0.03993,0.02183,0.03523,0.2596,-3.222,-6.827,242.37623,-21.08314
242.3757617,-20.9983444,6243843994013465088,2,22.5,147.897,2.926635,3.235057,136.008,2.691368,-16.803,0.367551,55.6152,1.100529,2.974997,0.332509,1.216508,-4.938,0.17199,-15.2,0.335,0.15741,0.32707,1.9932,-3.19,-7.521,242.37576,-20.99834
242.4003272,-20.9405439,6243844822944577536,4,100.0,153.233,1.359422,1.321377,140.911,1.250107,-17.253,0.148779,57.6778,0.511695,1.215121,0.153062,0.497374,-6.585,0.0773,-16.06,0.15207,0.07916,0.14655,0.3395,-4.062,-7.098,242.40033,-20.94054
242.5495797,-21.0320369,6243845334041776512,3,100.0,137.792,2.210568,2.278724,126.867,2.035302,-15.465,0.255757,51.4993,0.826195,2.098054,0.248107,0.851668,-6.341,0.14665,-15.48,0.25855,0.14871,0.25172,0.5446,-3.455,-6.864,242.54958,-21.03204
243.0493942,-20.7908547,6243867225494117248,2,100.0,142.293,3.189735,3.238842,131.318,2.943719,-14.771,0.336212,52.7695,1.182915,2.989039,0.331115,1.201127,-5.553,0.1684,-17.0,0.37908,0.17392,0.39471,1.1999,-4.997,-7.642,243.04939,-20.79085
242.9965017,-20.7466283,6243868290644923776,9,10.6,114.349,14.13825,17.09114,105.481,13.04173,-11.867,1.773621,42.5294,5.258377,15.76561,1.467187,6.356633,-8.352,1.49981,-16.34,2.72387,1.23791,1.89196,-1.585,-4.356,-5.976,242.9965,-20.74663
243.0210108,-20.7280414,6243868702963748352,6,32.1,123.02,6.504793,7.383809,113.489,6.000854,-12.704,0.762534,45.7457,2.418848,6.811771,0.671757,2.745715,-7.715,0.56147,-14.36,0.84965,0.52697,0.82993,-0.954,-2.372,-10.42,243.02101,-20.72804
